components,disease_name,functions,indication,medicine_name,usage
黄芪、葛根、地黄、枸杞子、决明子、茺蔚子、蒲黄、水蛭。,视网膜病变,"益气生津、滋养肝肾、通络明目。用于2型糖尿病视网膜病变单纯型,中医辨证属气阴亏虚、...",糖尿糖尿病视网膜病变,芪明颗粒(万马),开水冲服。一次1袋，一日3次。疗程为3～6个月。
本品为复方制剂，其组分为：氢溴酸樟柳碱和盐酸普鲁卡因。,视网膜病变,用于缺血性视神经、视网膜、脉络脉膜病变。,糖尿糖尿病视网膜病变,复方樟柳碱注射液,患侧颞浅动脉旁皮下注射一日1次，每次2ml（急重症者可加球旁注射，一日1次），14次为一...
本品主要成分羟苯磺酸钙一水合物。化学名称：2，5-二羟基苯磺酸钙一水合物。,视网膜病变,主要用于糖尿病引起的视网膜病变和肾小球性硬化症。也用于微循环障碍引起的各种静脉曲...,糖尿病视网膜病变硬化症痔疮皮炎糖尿硬化微循环障碍静脉曲张溃疡瘙痒,羟苯磺酸钙片(利倍思),口服用药应个体化。用于严重微血管病变，初始剂量为1.5～2g/日，维持量为1g/日；用于微循...
依诺沙星,结膜炎,敏感致病菌引起的眼部感染。,眼部感染,依诺沙星滴眼液(鑫烨),滴眼。一次1～2滴，一日4～6次
该产品取材于健康剖宫产产妇的胎盘组织，其中眼科用型号主要分为有滤纸型和无滤纸(凹...,翼状胬肉,该产品在眼科适用于：①翼状胬肉及假性翼状胬肉所致的睑球粘连；②眼表化学性烧伤，热...,,生物羊膜,
本品每粒含维生素A2500单位。辅料为：白砂糖、苋菜红、胭脂红、明胶、虫白蜡、滑石粉。,干眼症,用于预防和治疗维生素A缺乏症，如夜盲症、干眼症、角膜软化、皮肤粗糙角化。,干眼干眼症夜盲皮肤粗糙,维生素A糖丸,口服。儿童一日1粒，成人一日2粒。
本品主要成分为:羟苯磺酸钙，其化学名为2，5--二羟基苯磺酸钙的一水合物。化学结构式:分...,视网膜病变,主要用于糖尿病引起的视网膜病变和肾小球性硬化症。也用于微循环障碍引起的各种静脉曲...,糖尿病视网膜病变硬化症痔疮皮炎糖尿硬化微循环障碍静脉曲张溃疡瘙痒,羟苯磺酸钙分散片(恒恩),进餐时口服，部分症状推荐指导剂量如下（或遵医嘱）:
该产品取材于健康剖宫产产妇的胎盘组织，其中眼科用型号主要分为有滤纸型和无滤纸(凹...,翼状胬肉,主治唇癌、舌癌、齿龈癌、鼻咽癌等关颈部鳞癌。亦可用于治疗皮肤癌、乳腺癌、宫颈癌、...,,盐酸平阳霉素,
该产品取材于健康剖宫产产妇的胎盘组织，其中眼科用型号主要分为有滤纸型和无滤纸(凹...,翼状胬肉,主治唇癌、舌癌、齿龈癌、鼻咽癌等关颈部鳞癌。亦可用于治疗皮肤癌、乳腺癌、宫颈癌、...,,盐酸平阳霉素,
盐酸平阳霉素,翼状胬肉,主治唇癌、舌癌、齿龈癌、鼻咽癌等关颈部鳞癌。亦可用于治疗皮肤癌、乳腺癌、宫颈癌、...,舌癌鼻咽癌,注射用盐酸平阳霉素,1．静脉内注射：用生理盐水或葡萄糖溶液等适合静脉用之注射液5～20ml溶解本品4～15mg（效...
